,EPI_ISL_420145,EPI_ISL_420137,EPI_ISL_420136,EPI_ISL_417486,EPI_ISL_417483,EPI_ISL_420134,EPI_ISL_420146,EPI_ISL_420151,EPI_ISL_420139,EPI_ISL_417484,EPI_ISL_417487,EPI_ISL_417489,EPI_ISL_420141,EPI_ISL_420148,EPI_ISL_417490,EPI_ISL_417488,EPI_ISL_420135,EPI_ISL_420152,EPI_ISL_420313,EPI_ISL_420138,EPI_ISL_417485,EPI_ISL_420153,EPI_ISL_420312,EPI_ISL_420143,EPI_ISL_420147,EPI_ISL_420150
EPI_ISL_417489,0.000302826383656486,0.000302826383656486,0,0.000100928542744175,6.7284186018628e-05,0.000269172968951023,0.000269172968951023,0.000100928542744175,0.000336481308499474,0.000269172968951023,0.000100928542744175,0,0.00040379568914018,0.000100928542744175,0,0,0,0.000302826383656486,0.000269172968951023,0.000336481308499474,0.000302826383656486,0.00040379568914018,0.00037013774361552,0.000302826383656486,0.000302826383656486,0.00037013774361552
EPI_ISL_420141,0.000235521064247649,0.000235521064247649,0.00040379568914018,0.000437455145209026,0.00040379568914018,0.000201870669410699,0.000201870669410699,0.000302826383656486,0.000269172968951023,0.000538442578036667,0.000437455145209026,0.00040379568914018,0,0.000437455145209026,0.00040379568914018,0.00040379568914018,0.00040379568914018,0.000235521064247649,0.000235521064247649,0.000269172968951023,0.000235521064247649,0.000134574408794415,0.000302826383656486,0.000235521064247649,0.000235521064247649,0.000302826383656486
EPI_ISL_420148,0.000336481308499474,0.000336481308499474,0.000100928542744175,0.000134574408794415,3.36413384823662e-05,0.000302826383656486,0.000302826383656486,0.000134574408794415,0.00037013774361552,0.000302826383656486,0.000134574408794415,0.000100928542744175,0.000437455145209026,0,0.000100928542744175,0.000100928542744175,0.000100928542744175,0.000336481308499474,0.000336481308499474,0.00037013774361552,0.000336481308499474,0.000437455145209026,0.00040379568914018,0.000336481308499474,0.000336481308499474,0.00040379568914018
EPI_ISL_417490,0.000302826383656486,0.000302826383656486,0,0.000100928542744175,6.7284186018628e-05,0.000269172968951023,0.000269172968951023,0.000100928542744175,0.000336481308499474,0.000269172968951023,0.000100928542744175,0,0.00040379568914018,0.000100928542744175,0,0,0,0.000302826383656486,0.000302826383656486,0.000302826383656486,0.000302826383656486,0.00040379568914018,0.00037013774361552,0.000302826383656486,0.000302826383656486,0.00037013774361552
EPI_ISL_417488,0.000302826383656486,0.000302826383656486,0,0.000100928542744175,6.7284186018628e-05,0.000269172968951023,0.000269172968951023,0.000100928542744175,0.000336481308499474,0.000269172968951023,0.000100928542744175,0,0.00040379568914018,0.000100928542744175,0,0,0,0.000302826383656486,0.000302826383656486,0.000336481308499474,0.000302826383656486,0.00040379568914018,0.00037013774361552,0.000302826383656486,0.000302826383656486,0.00037013774361552
EPI_ISL_420135,0.000302826383656486,0.000302826383656486,0,0.000100928542744175,6.7284186018628e-05,0.000269172968951023,0.000269172968951023,0.000100928542744175,0.000336481308499474,0.000269172968951023,0.000100928542744175,0,0.00040379568914018,0.000100928542744175,0,0,0,0.000302826383656486,0.000302826383656486,0.000336481308499474,0.000302826383656486,0.00040379568914018,0.00037013774361552,0.000302826383656486,0.000302826383656486,0.00037013774361552
EPI_ISL_420152,0.000134574408794415,0.000134574408794415,0.000302826383656486,0.000336481308499474,0.000302826383656486,0.000100928542744175,0.000100928542744175,0.000201870669410699,0.000168221784304775,0.000437455145209026,0.000336481308499474,0.000302826383656486,0.000235521064247649,0.000336481308499474,0.000302826383656486,0.000302826383656486,0.000302826383656486,0,0.000134574408794415,0.000168221784304775,0.000134574408794415,0.000235521064247649,0.000201870669410699,0.000134574408794415,0.000134574408794415,0.000201870669410699
EPI_ISL_420313,0.000134574408794415,6.7284186018628e-05,0.000302826383656486,0.000336481308499474,0.000302826383656486,0,3.36413384823662e-05,0.000201870669410699,0.000100928542744175,0.000437455145209026,0.000336481308499474,0.000269172968951023,0.000235521064247649,0.000336481308499474,0.000302826383656486,0.000302826383656486,0.000302826383656486,0.000134574408794415,0,0.000168221784304775,0.000134574408794415,0.000235521064247649,0.000201870669410699,0.000134574408794415,0.000134574408794415,0.000201870669410699
EPI_ISL_420138,3.36413384823662e-05,0.000168221784304775,0.000336481308499474,0.00037013774361552,0.000336481308499474,0.000134574408794415,0.000134574408794415,0.000235521064247649,0.000201870669410699,0.000471116111957646,0.00037013774361552,0.000336481308499474,0.000269172968951023,0.00037013774361552,0.000302826383656486,0.000336481308499474,0.000336481308499474,0.000168221784304775,0.000168221784304775,0,0.000168221784304775,0.000269172968951023,0.000100928542744175,3.36413384823662e-05,3.36413384823662e-05,0.000100928542744175
EPI_ISL_417485,0.000134574408794415,0.000134574408794415,0.000302826383656486,0.000336481308499474,0.000302826383656486,0.000100928542744175,0.000100928542744175,0.000201870669410699,0.000168221784304775,0.000437455145209026,0.000336481308499474,0.000302826383656486,0.000235521064247649,0.000336481308499474,0.000302826383656486,0.000302826383656486,0.000302826383656486,0.000134574408794415,0.000134574408794415,0.000168221784304775,0,0.000235521064247649,0.000201870669410699,0.000134574408794415,0.000134574408794415,0.000201870669410699
EPI_ISL_420153,0.000235521064247649,0.000235521064247649,0.00040379568914018,0.000437455145209026,0.00040379568914018,0.000201870669410699,0.000201870669410699,0.000302826383656486,0.000269172968951023,0.000538442578036667,0.000437455145209026,0.00040379568914018,0.000134574408794415,0.000437455145209026,0.00040379568914018,0.00040379568914018,0.00040379568914018,0.000235521064247649,0.000235521064247649,0.000269172968951023,0.000235521064247649,0,0.000302826383656486,0.000235521064247649,0.000235521064247649,0.000302826383656486
EPI_ISL_420312,6.7284186018628e-05,0.000201870669410699,0.00037013774361552,0.00040379568914018,0.00037013774361552,0.000168221784304775,0.000168221784304775,0.000269172968951023,0.000235521064247649,0.000504778589521651,0.00040379568914018,0.00037013774361552,0.000302826383656486,0.00040379568914018,0.00037013774361552,0.00037013774361552,0.00037013774361552,0.000201870669410699,0.000201870669410699,0.000100928542744175,0.000201870669410699,0.000302826383656486,0,6.7284186018628e-05,6.7284186018628e-05,0.000134574408794415
EPI_ISL_420143,0,0.000134574408794415,0.000302826383656486,0.000336481308499474,0.000302826383656486,0.000100928542744175,0.000100928542744175,0.000201870669410699,0.000168221784304775,0.000437455145209026,0.000336481308499474,0.000302826383656486,0.000235521064247649,0.000336481308499474,0.000302826383656486,0.000302826383656486,0.000302826383656486,0.000134574408794415,0.000134574408794415,3.36413384823662e-05,0.000134574408794415,0.000235521064247649,6.7284186018628e-05,0,0,6.7284186018628e-05
EPI_ISL_420147,0,0.000134574408794415,0.000302826383656486,0.000336481308499474,0.000302826383656486,0.000100928542744175,0.000100928542744175,0.000201870669410699,0.000168221784304775,0.000437455145209026,0.000336481308499474,0.000302826383656486,0.000235521064247649,0.000336481308499474,0.000302826383656486,0.000302826383656486,0.000302826383656486,0.000134574408794415,0.000134574408794415,3.36413384823662e-05,0.000134574408794415,0.000235521064247649,6.7284186018628e-05,0,0,6.7284186018628e-05
EPI_ISL_420150,6.7284186018628e-05,0.000201870669410699,0.00037013774361552,0.00040379568914018,0.00037013774361552,0.000168221784304775,0.000168221784304775,0.000269172968951023,0.000235521064247649,0.000504778589521651,0.00040379568914018,0.00037013774361552,0.000302826383656486,0.00040379568914018,0.00037013774361552,0.00037013774361552,0.00037013774361552,0.000201870669410699,0.000201870669410699,0.000100928542744175,0.000201870669410699,0.000302826383656486,0.000134574408794415,6.7284186018628e-05,6.7284186018628e-05,0
